company,model_name,year,age,kms_driven,fuel_type,transmission,owner,Price,name,source,price_lakh
Honda,City,2001,25,98000,Petrol,Manual,second,185250,Honda City,kaggle_market,1.85
Toyota,Innova,2009,17,190000,Diesel,Manual,second,356250,Toyota Innova,kaggle_market,3.56
Volkswagen,Ventotest,2010,16,77246,Diesel,Manual,first,175749,Volkswagen Ventotest,kaggle_market,1.76
Maruti Suzuki,Swift,2017,9,83500,Diesel,Manual,second,536750,Maruti Suzuki Swift,kaggle_market,5.37
Maruti Suzuki,Baleno,2019,7,45000,Petrol,Automatic,first,650750,Maruti Suzuki Baleno,kaggle_market,6.51
Bmw,X3,2014,12,83000,Diesel,Automatic,first,1282500,Bmw X3,kaggle_market,12.82
Toyota,Innova,2014,12,168000,Diesel,Manual,second,973750,Toyota Innova,kaggle_market,9.74
Bmw,5 Series,2019,7,25000,Diesel,Automatic,second,5652500,Bmw 5 Series,kaggle_market,56.52
Maruti Suzuki,Maruti-Suzuki-Dzire,2020,6,33759,Petrol,Manual,second,590900,Maruti Suzuki Maruti-Suzuki-Dzire,kaggle_market,5.91
Ford,Ecosport,2017,9,69713,Petrol,Manual,second,616550,Ford Ecosport,kaggle_market,6.17
Maruti Suzuki,Alto-K10,2018,8,70000,Petrol,Automatic,first,375250,Maruti Suzuki Alto-K10,kaggle_market,3.75
Kia,Carnival,2021,5,25000,Diesel,Automatic,first,2755000,Kia Carnival,kaggle_market,27.55
Maruti Suzuki,Swift-Dzire,2012,14,72700,Petrol,Manual,second,228000,Maruti Suzuki Swift-Dzire,kaggle_market,2.28
Toyota,Corolla,2007,19,121931,Petrol,Automatic,second,191282,Toyota Corolla,kaggle_market,1.91
Hyundai,Xcent,2018,8,130000,Diesel,Manual,second,313500,Hyundai Xcent,kaggle_market,3.14
Kia,Seltos,2020,6,68000,Diesel,Manual,first,992750,Kia Seltos,kaggle_market,9.93
Maruti Suzuki,Ertiga,2016,10,65000,Diesel,Manual,second,745750,Maruti Suzuki Ertiga,kaggle_market,7.46
Maruti Suzuki,Ertiga,2017,9,59000,Petrol,Automatic,second,527250,Maruti Suzuki Ertiga,kaggle_market,5.27
Bmw,3 Series Gt,2015,11,61000,Diesel,Automatic,second,1425000,Bmw 3 Series Gt,kaggle_market,14.25
Ford,Endeavour,2019,7,77000,Diesel,Automatic,second,2279050,Ford Endeavour,kaggle_market,22.79
