name,company,year,Price,kms_driven,fuel_type
Nissan Micra VXI,Nissan,2014,34609,"118,086 kms",Petrol
Renault Kwid ZXI,Renault,2012,37855,"121,939 kms",Diesel
Maruti Dzire VXI,Maruti,2014,36889,"115,620 kms",Petrol
Maruti Ertiga ZXI,Maruti,2017,90087,"62,364 kms",LPG
Renault Duster ZXI,Renault,2010,37373,"147,288 kms",Petrol
Chevrolet Cruze VXI,Chevrolet,2019,184706,"47,972 kms",Diesel
Kia Sonet ZXI,Kia,2019,290369,"52,886 kms",Diesel
Kia Sonet LXI,Kia,2009,33650,"168,475 kms",Petrol
Maruti Swift VXI,Maruti,2013,48357,"140,711 kms",Diesel
Maruti Ignis LXI,Maruti,2016,96873,"111,850 kms",Diesel
Datsun GO+ VXI,Datsun,2015,39966,"116,184 kms",LPG
Honda City VXI,Honda,2014,36360,"124,105 kms",Petrol
Tata Safari VXI,Tata,2012,38391,"140,861 kms",Diesel
Datsun GO+ ZXI,Datsun,2016,38928,"121,019 kms",Petrol
Force Gurkha VXI,Force,2015,45001,"122,580 kms",Petrol
Nissan Terrano LXI,Nissan,2021,200411,"36,737 kms",Petrol
Honda WR-V VXI,Honda,2023,395546,"12,781 kms",LPG
Hindustan Ambassador LXI,Hindustan,2015,37390,"130,698 kms",Diesel
Chevrolet Cruze VXI,Chevrolet,2011,37673,"169,276 kms",Diesel
Maruti Ertiga LXI,Maruti,2012,42193,"163,111 kms",Diesel
Toyota Innova VXI,Toyota,2015,75018,"104,922 kms",Petrol
Chevrolet Spark VXI,Chevrolet,2019,120016,"63,446 kms",Petrol
Nissan Terrano ZXI,Nissan,2008,42159,"214,477 kms",Petrol
Maruti Baleno VXI,Maruti,2014,42685,"117,971 kms",Petrol
Mahindra KUV100 LXI,Mahindra,2012,38408,"177,614 kms",Diesel
Kia Sonet LXI,Kia,2020,445726,"16,424 kms",Diesel
Force Gurkha LXI,Force,2011,42496,"163,087 kms",Petrol
Renault Triber ZXI,Renault,2019,159997,"30,645 kms",Petrol
Toyota Glanza ZXI,Toyota,2015,198316,"78,586 kms",Diesel
Renault Kwid VXI,Renault,2017,110952,"93,298 kms",Diesel
Maruti Celerio LXI,Maruti,2013,40293,"152,863 kms",Petrol
Toyota Fortuner VXI,Toyota,2017,170529,"106,599 kms",Diesel
Hyundai Verna VXI,Hyundai,2008,36017,"182,585 kms",Petrol
Hindustan Ambassador LXI,Hindustan,2009,44857,"177,139 kms",Diesel
Maruti Dzire VXI,Maruti,2012,42070,"157,170 kms",Diesel
Jeep Meridian VXI,Jeep,2010,43303,"176,543 kms",Diesel
Renault Kwid LXI,Renault,2023,233266,"26,032 kms",Petrol
Mahindra XUV500 LXI,Mahindra,2008,38533,"200,292 kms",Diesel
Chevrolet Cruze VXI,Chevrolet,2022,213052,"48,621 kms",Diesel
Land Rover Discovery VXI,Land,2017,454407,"87,122 kms",Diesel
Hyundai Venue VXI,Hyundai,2012,38018,"150,709 kms",LPG
Tata Harrier LXI,Tata,2016,64606,"121,777 kms",Diesel
Tata Safari LXI,Tata,2012,46332,"173,797 kms",Petrol
Renault Duster LXI,Renault,2017,129097,"44,190 kms",Petrol
Tata Safari ZXI,Tata,2015,78367,"104,242 kms",Diesel
Nissan Kicks VXI,Nissan,2010,39761,"145,780 kms",Diesel
Mahindra Scorpio VXI,Mahindra,2018,151605,"57,718 kms",Diesel
Mahindra XUV500 ZXI,Mahindra,2010,40848,"152,183 kms",Diesel
Ford Endeavour VXI,Ford,2017,113891,"114,782 kms",Diesel
Chevrolet Beat VXI,Chevrolet,2012,44085,"144,551 kms",Petrol
Mahindra KUV100 LXI,Mahindra,2015,44393,"121,730 kms",Petrol
Datsun GO LXI,Datsun,2012,37162,"112,651 kms",Petrol
Mahindra Thar VXI,Mahindra,2023,313806,"5,000 kms",LPG
Nissan Kicks VXI,Nissan,2019,103119,"79,764 kms",LPG
Mahindra Bolero VXI,Mahindra,2019,157688,"51,594 kms",Petrol
Chevrolet Beat ZXI,Chevrolet,2014,42873,"128,602 kms",Petrol
Chevrolet Beat ZXI,Chevrolet,2012,43621,"148,195 kms",Petrol
Fiat Linea LXI,Fiat,2018,100452,"94,481 kms",Diesel
Renault Triber VXI,Renault,2009,40212,"168,056 kms",LPG
Jaguar XF VXI,Jaguar,2009,33189,"198,134 kms",Petrol
Force Gurkha ZXI,Force,2020,243308,"61,919 kms",Diesel
Mahindra Scorpio VXI,Mahindra,2018,133346,"71,911 kms",Petrol
Datsun GO VXI,Datsun,2013,34871,"136,248 kms",Petrol
Hindustan Ambassador VXI,Hindustan,2009,43816,"195,660 kms",Diesel
Ford Figo VXI,Ford,2013,37879,"133,558 kms",Diesel
Skoda Rapid VXI,Skoda,2018,245395,"53,069 kms",Petrol
Renault Triber LXI,Renault,2013,35543,"137,549 kms",Petrol
Tata Tigor VXI,Tata,2017,68843,"99,608 kms",LPG
Skoda Superb VXI,Skoda,2009,42309,"157,573 kms",Diesel
Nissan Kicks VXI,Nissan,2016,67110,"91,059 kms",Petrol
Hyundai Verna ZXI,Hyundai,2011,43599,"146,951 kms",Diesel
MG Hector ZXI,MG,2016,165838,"79,013 kms",Diesel
Honda WR-V LXI,Honda,2011,40214,"153,349 kms",Diesel
Maruti Baleno LXI,Maruti,2017,156279,"61,839 kms",Diesel
Tata Tigor ZXI,Tata,2015,49540,"98,103 kms",Petrol
MG ZS EV LXI,MG,2023,380889,"5,000 kms",Diesel
Hyundai Creta ZXI,Hyundai,2016,101978,"100,819 kms",Diesel
Chevrolet Beat VXI,Chevrolet,2008,36626,"205,657 kms",LPG
Ford Figo ZXI,Ford,2022,218719,"28,157 kms",LPG
Toyota Innova LXI,Toyota,2019,315539,"67,526 kms",Diesel
Nissan Kicks LXI,Nissan,2019,"198,002",54139,Diesel
Hyundai Grand i10 LXI,Hyundai,2015,"42,138",99710,Petrol
Kia Seltos VXI,Kia,2018,"283,871",52830,Diesel
Jaguar XF VXI,Jaguar,2011,"41,135",165861,Diesel
Datsun Redi-GO VXI,Datsun,2009,"42,046",163230,Petrol
Force Gurkha ZXI,Force,2016,"141,597",80348,Diesel
Chevrolet Cruze VXI,Chevrolet,2013,"35,635",106306,Diesel
Nissan Micra LXI,Nissan,2008,"39,985",214405,Diesel
Renault Kwid LXI,Renault,2020,"141,819",64047,LPG
Hindustan Ambassador ZXI,Hindustan,2009,"44,856",168909,Diesel
Chevrolet Cruze VXI,Chevrolet,2019,"126,559",69734,Petrol
Hindustan Ambassador VXI,Hindustan,2008,"36,234",181715,Diesel
Toyota Glanza LXI,Toyota,2008,"44,352",197447,Diesel
Mahindra Thar LXI,Mahindra,2009,"36,992",176764,Petrol
Renault Kwid LXI,Renault,2013,"38,333",126801,Diesel
Ford Figo ZXI,Ford,2019,"151,528",46003,Petrol
Land Defender VXI,Land,2021,"706,241",52356,Petrol
Hyundai Creta VXI,Hyundai,2019,"123,389",70809,LPG
Tata Safari VXI,Tata,2017,"84,063",112789,Diesel
Renault Kwid VXI,Renault,2017,"104,718",83220,Diesel
Tata Altroz VXI,Tata,2009,"40,029",175881,Diesel
Force Gurkha LXI,Force,2014,"42,813",101530,Petrol
Honda Jazz LXI,Honda,2010,"34,293",185814,Diesel
Hindustan Ambassador VXI,Hindustan,2013,"45,442",134176,Diesel
Hindustan Ambassador ZXI,Hindustan,2008,"41,919",170346,Petrol
Jeep Compass ZXI,Jeep,2018,"283,067",47646,Petrol
MG ZS EV VXI,MG,2009,"40,069",160158,Diesel
Mahindra Scorpio LXI,Mahindra,2022,"212,800",42359,Petrol
